C,2018-10-31T19:41:18Z,65.0523374,-172.149097,6805863.36,19.87034634,27.03731045,-3.794920326,,
C,2018-10-31T19:41:19Z,64.9883041,-172.136565,6805870.29,14.24121336,27.03731045,-3.794920326,,
C,2018-10-31T19:41:20Z,64.924269,-172.124113,6805877.23,19.84543038,27.03731045,-3.794920326,,
C,2018-10-31T19:41:21Z,64.8602321,-172.11174,6805884.19,14.23126302,27.03731045,-3.794920326,,
C,2018-10-31T19:41:22Z,64.7961935,-172.099446,6805891.16,19.7897964,27.03731045,-3.794920326,,
C,2018-10-31T19:41:23Z,64.732153,-172.08723,6805898.15,14.1383784,27.03731045,-3.794920326,,
C,2018-10-31T19:41:24Z,64.6681109,-172.075092,6805905.16,19.82211936,27.03731045,-3.794920326,,
C,2018-10-31T19:41:25Z,64.604067,-172.06303,6805912.18,14.1722685,27.03731045,-3.794920326,,
C,2018-10-31T19:41:26Z,64.5400213,-172.051045,6805919.22,19.77669438,27.03731045,-3.794920326,,
C,2018-10-31T19:41:27Z,64.475974,-172.039136,6805926.28,14.1116253,27.03731045,-3.794920326,,
C,2018-10-31T19:41:28Z,64.4119249,-172.027301,6805933.35,19.77505722,27.03731045,-3.794920326,,
C,2018-10-31T19:41:29Z,64.3478742,-172.015542,6805940.44,14.09483334,27.03731045,-3.794920326,,
C,2018-10-31T19:41:30Z,64.2838218,-172.003856,6805947.55,19.77270666,27.03731045,-3.794920326,,
C,2018-10-31T19:41:31Z,64.2197678,-171.992244,6805954.67,14.06710164,27.03731045,-3.794920326,,
C,2018-10-31T19:41:32Z,64.1557121,-171.980705,6805961.8,19.75245228,27.03731045,-3.794920326,,
C,2018-10-31T19:41:33Z,64.0916548,-171.969238,6805968.95,14.02843752,27.03731045,-3.794920326,,
C,2018-10-31T19:41:34Z,64.0275959,-171.957843,6805976.12,19.74968706,27.03731045,-3.794920326,,
C,2018-10-31T19:41:35Z,63.9635353,-171.94652,6805983.31,14.00171382,27.03731045,-3.794920326,,
C,2018-10-31T19:41:36Z,63.8994732,-171.935267,6805990.51,19.71402252,27.03731045,-3.794920326,,
C,2018-10-31T19:41:37Z,63.8354095,-171.924085,6805997.73,13.94431992,27.03731045,-3.794920326,,
C,2018-10-31T19:41:38Z,63.7713442,-171.912972,6806004.96,19.67967072,27.03731045,-3.794920326,,
C,2018-10-31T19:41:39Z,63.7072774,-171.901929,6806012.21,13.9205124,27.03731045,-3.794920326,,
C,2018-10-31T19:41:40Z,63.643209,-171.890955,6806019.47,19.66364952,27.03731045,-3.794920326,,
C,2018-10-31T19:41:41Z,63.5791391,-171.880048,6806026.75,13.89443658,27.03731045,-3.794920326,,
C,2018-10-31T19:41:42Z,63.5150676,-171.86921,6806034.05,19.64287344,27.03731045,-3.794920326,,
C,2018-10-31T19:41:43Z,63.4509947,-171.858439,6806041.36,13.8557103,27.03731045,-3.794920326,,
C,2018-10-31T19:41:44Z,63.3869203,-171.847735,6806048.69,19.89262734,27.03731045,-3.794920326,,
C,2018-10-31T19:41:45Z,63.3228443,-171.837097,6806056.04,13.83911976,27.03731045,-3.794920326,,
C,2018-10-31T19:41:46Z,63.2587669,-171.826524,6806063.4,19.90023024,27.03731045,-3.794920326,,
C,2018-10-31T19:41:47Z,63.1946881,-171.816018,6806070.77,13.79275578,27.03731045,-3.794920326,,
C,2018-10-31T19:41:48Z,63.1306078,-171.805576,6806078.17,19.86719574,27.03731045,-3.794920326,,
C,2018-10-31T19:41:49Z,63.066526,-171.795198,6806085.57,13.78097244,27.03731045,-3.794920326,,
C,2018-10-31T19:41:50Z,63.0024428,-171.784885,6806093,19.83631602,27.03731045,-3.794920326,,
C,2018-10-31T19:41:51Z,62.9383582,-171.774635,6806100.44,13.7394279,27.03731045,-3.794920326,,
C,2018-10-31T19:41:52Z,62.8742722,-171.764448,6806107.89,19.81382226,27.03731045,-3.794920326,,
C,2018-10-31T19:41:53Z,62.8101848,-171.754323,6806115.36,13.72916106,27.03731045,-3.794920326,,
C,2018-10-31T19:41:54Z,62.746096,-171.744261,6806122.85,19.82514318,27.03731045,-3.794920326,,
C,2018-10-31T19:41:55Z,62.6820058,-171.734261,6806130.35,13.73476896,27.03731045,-3.794920326,,
C,2018-10-31T19:41:56Z,62.6179143,-171.724322,6806137.87,19.78101918,27.03731045,-3.794920326,,
C,2018-10-31T19:41:57Z,62.5538214,-171.714444,6806145.4,13.6985355,27.03731045,-3.794920326,,
C,2018-10-31T19:41:58Z,62.4897271,-171.704626,6806152.95,19.81128936,27.03731045,-3.794920326,,
C,2018-10-31T19:41:59Z,62.4256315,-171.694868,6806160.52,13.72982646,27.03731045,-3.794920326,,
C,2018-10-31T19:42:00Z,62.3615346,-171.68517,6806168.1,19.80480984,27.03731045,-3.794920326,,
C,2018-10-31T19:42:01Z,62.2974364,-171.675531,6806175.69,13.71790266,27.03731045,-3.794920326,,
C,2018-10-31T19:42:02Z,62.2333368,-171.665951,6806183.3,19.78886358,27.03731045,-3.794920326,,
C,2018-10-31T19:42:03Z,62.169236,-171.656429,6806190.93,13.66348734,27.03731045,-3.794920326,,
C,2018-10-31T19:42:04Z,62.1051339,-171.646966,6806198.57,19.7811294,27.03731045,-3.794920326,,
C,2018-10-31T19:42:05Z,62.0410305,-171.637559,6806206.23,13.6347873,27.03731045,-3.794920326,,
C,2018-10-31T19:42:06Z,61.9769258,-171.62821,6806213.9,19.79119998,27.03731045,-3.794920326,,
C,2018-10-31T19:42:07Z,61.9128199,-171.618918,6806221.59,13.66888074,27.03731045,-3.794920326,,
