B,2018-10-31T13:16:24Z,52.6433119,-137.920868,6873404.57,-0.97304415,32.33329423,-5.492815826
B,2018-10-31T13:16:25Z,52.7066603,-137.918261,6873395.95,-1.024988094,32.33329423,-5.492815826
B,2018-10-31T13:16:26Z,52.7700083,-137.915634,6873387.35,-1.010365116,32.33329423,-5.492815826
B,2018-10-31T13:16:27Z,52.833356,-137.912987,6873378.75,-1.002842112,32.33329423,-5.492815826
B,2018-10-31T13:16:28Z,52.8967034,-137.91032,6873370.17,-1.033982238,32.33329423,-5.492815826
B,2018-10-31T13:16:29Z,52.9600505,-137.907633,6873361.59,-0.834252612,32.33329423,-5.492815826
B,2018-10-31T13:16:30Z,53.0233972,-137.904926,6873353.03,-0.980458152,32.33329423,-5.492815826
B,2018-10-31T13:16:31Z,53.0867436,-137.902198,6873344.48,-1.079800248,32.33329423,-5.492815826
B,2018-10-31T13:16:32Z,53.1500897,-137.89945,6873335.94,-1.173244056,32.33329423,-5.492815826
B,2018-10-31T13:16:33Z,53.2134354,-137.896682,6873327.41,-1.237586238,32.33329423,-5.492815826
B,2018-10-31T13:16:34Z,53.2767808,-137.893893,6873318.9,-1.24221696,32.33329423,-5.492815826
B,2018-10-31T13:16:35Z,53.3401259,-137.891084,6873310.39,-1.276229766,32.33329423,-5.492815826
B,2018-10-31T13:16:36Z,53.4034706,-137.888254,6873301.9,-1.35304995,32.33329423,-5.492815826
B,2018-10-31T13:16:37Z,53.4668149,-137.885402,6873293.41,-1.411601556,32.33329423,-5.492815826
B,2018-10-31T13:16:38Z,53.5301589,-137.88253,6873284.94,-1.425542502,32.33329423,-5.492815826
B,2018-10-31T13:16:39Z,53.5935026,-137.879637,6873276.48,-1.491992436,32.33329423,-5.492815826
B,2018-10-31T13:16:40Z,53.6568458,-137.876722,6873268.03,-1.520215404,32.33329423,-5.492815826
B,2018-10-31T13:16:41Z,53.7201888,-137.873786,6873259.6,-1.561321932,32.33329423,-5.492815826
B,2018-10-31T13:16:42Z,53.7835313,-137.870829,6873251.17,-1.58579109,32.33329423,-5.492815826
B,2018-10-31T13:16:43Z,53.8468736,-137.867849,6873242.76,-1.562903964,32.33329423,-5.492815826
B,2018-10-31T13:16:44Z,53.9102154,-137.864849,6873234.36,-1.560511632,32.33329423,-5.492815826
B,2018-10-31T13:16:45Z,53.9735569,-137.861826,6873225.97,-1.609133544,32.33329423,-5.492815826
B,2018-10-31T13:16:46Z,54.036898,-137.858781,6873217.59,-1.600366782,32.33329423,-5.492815826
B,2018-10-31T13:16:47Z,54.1002387,-137.855715,6873209.22,-1.599188364,32.33329423,-5.492815826
B,2018-10-31T13:16:48Z,54.1635791,-137.852626,6873200.87,-1.653034536,32.33329423,-5.492815826
B,2018-10-31T13:16:49Z,54.2269191,-137.849515,6873192.53,-1.600874652,32.33329423,-5.492815826
B,2018-10-31T13:16:50Z,54.2902587,-137.846381,6873184.19,-1.605677766,32.33329423,-5.492815826
B,2018-10-31T13:16:51Z,54.3535979,-137.843225,6873175.87,-1.613997156,32.33329423,-5.492815826
B,2018-10-31T13:16:52Z,54.4169367,-137.840047,6873167.57,-1.618785186,32.33329423,-5.492815826
B,2018-10-31T13:16:53Z,54.4802752,-137.836845,6873159.27,-1.659668502,32.33329423,-5.492815826
B,2018-10-31T13:16:54Z,54.5436132,-137.833621,6873150.99,-1.68062853,32.33329423,-5.492815826
B,2018-10-31T13:16:55Z,54.6069509,-137.830373,6873142.71,-1.762288668,32.33329423,-5.492815826
B,2018-10-31T13:16:56Z,54.6702882,-137.827103,6873134.45,-1.784777004,32.33329423,-5.492815826
B,2018-10-31T13:16:57Z,54.733625,-137.823809,6873126.2,-1.822020744,32.33329423,-5.492815826
B,2018-10-31T13:16:58Z,54.7969615,-137.820491,6873117.97,-1.9371273,32.33329423,-5.492815826
B,2018-10-31T13:16:59Z,54.8602976,-137.817151,6873109.74,-1.86970482,32.33329423,-5.492815826
B,2018-10-31T13:17:00Z,54.9236332,-137.813786,6873101.53,-1.86610521,32.33329423,-5.492815826
B,2018-10-31T13:17:01Z,54.9869685,-137.810398,6873093.33,-1.855478316,32.33329423,-5.492815826
B,2018-10-31T13:17:02Z,55.0503033,-137.806985,6873085.14,-1.87048914,32.33329423,-5.492815826
B,2018-10-31T13:17:03Z,55.1136378,-137.803549,6873076.96,-1.911464592,32.33329423,-5.492815826
B,2018-10-31T13:17:04Z,55.1769718,-137.800089,6873068.8,-1.896431406,32.33329423,-5.492815826
B,2018-10-31T13:17:05Z,55.2403054,-137.796604,6873060.64,-1.87052637,32.33329423,-5.492815826
B,2018-10-31T13:17:06Z,55.3036385,-137.793094,6873052.5,-1.869535848,32.33329423,-5.492815826
B,2018-10-31T13:17:07Z,55.3669713,-137.78956,6873044.37,-1.876955322,32.33329423,-5.492815826
B,2018-10-31T13:17:08Z,55.4303036,-137.786002,6873036.26,-1.980046062,32.33329423,-5.492815826
B,2018-10-31T13:17:09Z,55.4936355,-137.782418,6873028.15,-1.987586652,32.33329423,-5.492815826
B,2018-10-31T13:17:10Z,55.5569669,-137.77881,6873020.06,-1.959043128,32.33329423,-5.492815826
B,2018-10-31T13:17:11Z,55.6202979,-137.775176,6873011.98,-1.983207144,32.33329423,-5.492815826
B,2018-10-31T13:17:12Z,55.6836285,-137.771517,6873003.91,-2.032547598,32.33329423,-5.492815826
B,2018-10-31T13:17:13Z,55.7469586,-137.767832,6872995.86,-2.060331216,32.33329423,-5.492815826
